uid,bvid,cdate
7753700,BV1Jp4y1x7BX,1610848813
7753700,BV1H54y1s7F4,1610851482
51930062,BV1Gh411y7Je,1610853742
40489639,BV1Bt4y1z7gE,1610855760
30513318,BV1iy4y1H7Vw,1610855719
4059920,BV1tV411t7wC,1610856003
43389575,BV11V411t78c,1610857026
2378908,BV1dp4y1x7e9,1610858644
2225805,BV13y4y1m76Z,1610860609
43389575,BV1tt4y1z7bJ,1610861963
409996897,BV1XA411H7by,1610863492
1565155,BV1n54y1s734,1610864821
43389575,BV1gr4y1M7rA,1610867243
43389575,BV1my4y1H7Fv,1610872944
43389575,BV1ir4y1T7Fk,1610888488
43389575,BV1ih41127Q8,1610888488
43389575,BV1uo4y1o7Qc,1610884474
43389575,BV1Dz4y1U79L,1610883268
43389575,BV1j54y1s7jY,1610874491
50329118,BV12y4y1H7bT,1610885103
50329118,BV12h41127t4,1610878623
37663924,BV1zT4y1N7fJ,1610885567
11173348,BV1Jp4y1x7LJ,1610881014
9153331,BV17z4y1S7jC,1610879403
7753700,BV1fr4y1T7Ny,1610884853
7753700,BV1Sr4y1T7z6,1610874648
7753700,BV1XU4y1x7Ns,1610874058
84132098,BV1nK4y1W7Rc,1610890248
84132098,BV1Nr4y1M72i,1610889397
11997177,BV1Ar4y1M7wM,1610889311
51930062,BV1FU4y147Dd,1610886360
29329085,BV1ir4y1T7af,1610876036
32507603,BV1RX4y1K7aM,1610886411
2225805,BV1yX4y1K728,1610880388
2225805,BV1yz4y167dL,1610876206
6813499,BV1kA411H7xr,1610879116
5260378,BV1pK411u7M6,1610877602
30513318,BV1Vf4y1k7zt,1610886609
30513318,BV1EU4y147WW,1610884805
30513318,BV1BK411u7h4,1610883310
30513318,BV12V411t7Wx,1610883004
30513318,BV12V411t7wP,1610881212
50402764,BV1sK4y1W7E4,1610891010
18039550,BV1fz4y1U7MU,1610894988
43389575,BV1Wo4y1o7FZ,1610895482
26136068,BV13y4y1H7JD,1610897457
43389575,BV1io4y1o7eu,1610898580
43389575,BV1j5411H7zx,1610898394
50329118,BV1ni4y1c7pC,1610899097
7753700,BV1to4y1o7xu,1610899518
43389575,BV11A411H7SE,1610900177
43389575,BV16V411t73q,1610900160
427494870,BV1Mv411471t,1610901046
50329118,BV1EU4y147ZW,1610902031
43389575,BV1no4y1o7gJ,1610908194
51930062,BV1ry4y1H7rk,1610910079
