uid,bvid,cdate
51606885,BV1cr4y1M79M,1610950027
11229785,BV1rV411t7pF,1610950828
51606885,BV1z54y1s7LH,1610950946
51606885,BV11v411W79q,1610951458
51606885,BV1Dp4y1x725,1610951339
51606885,BV1dT4y1N7ZW,1610953193
29338618,BV1Nr4y1M7UE,1610955773
34646754,BV1tV411t7xQ,1610957408
51606885,BV1UK4y1W7Em,1610963065
14753304,BV1F5411H7UD,1610962708
1398957,BV1jf4y1k7h2,1610964011
32899075,BV1zv411W7QP,1610965806
51606885,BV1Pz4y1S711,1610970596
431886272,BV1WU4y147gK,1610970547
7788379,BV1mt4y1z7B9,1610972959
51606885,BV1Hi4y1c7Zk,1610973748
51606885,BV1zV411t7LG,1610979004
32820037,BV18v411W78D,1610979408
51606885,BV16K411u7gF,1610980510
19071708,BV1854y1s7ZR,1610992547
2301165,BV15T4y1K7oB,1610995617
262453663,BV1UX4y1K7Tz,1610995994
29338618,BV1Xt4y1z78W,1611005041
12506114,BV1eh41127Bi,1611016549
29338618,BV1nt4y1z7kB,1611018729
