uid,bvid,cdate
13934589,BV1xK411u7wV,1611032419
2629890,BV1RX4y1K7C5,1611040039
22121599,BV1b54y1s7hr,1611041827
60958832,BV1x54y1s7bH,1611043580
223902,BV1Qp4y1x7qA,1611044070
223902,BV1Nv4y1f74j,1611043743
13934589,BV1x54y1s7Qs,1611045014
223902,BV1Yh41127eH,1611044575
223902,BV1vv411W7bi,1611044423
223902,BV1ZU4y1x7iE,1611045359
98960802,BV1dV411t7uf,1611045605
339233162,BV1g5411H7ou,1611050395
13934589,BV1zt4y1z7Dc,1611050413
99157282,BV1KT4y1K7w2,1611052203
359516438,BV1WA411H7pP,1611052980
41683,BV1A54y1s7Ft,1611054019
20990353,BV1Eh411y7t6,1611053816
250111460,BV1bi4y1c741,1611054019
175955136,BV1WX4y1K7iT,1611053496
223902,BV1j5411H79x,1611053964
223902,BV1cf4y1k7VB,1611056448
223902,BV13K411u7R4,1611056271
14025362,BV1BK411u7th,1611057608
67090174,BV17p4y1x7ur,1611057055
7875104,BV1WK4y1W7rC,1611057608
223902,BV1ZT4y1N7Kq,1611058799
223902,BV1Dh41127PQ,1611062277
43222001,BV1gz4y1S7tt,1611063722
15262818,BV1hp4y1x72i,1611063461
223902,BV1yT4y1N7EL,1611067122
