uid,bvid,cdate
15967711,BV1Yt4y1z7XV,1611038212
15967711,BV1zX4y1K7AQ,1611042330
434346657,BV1YA411H7U2,1611044983
273881817,BV1WK411u74C,1611045059
287003199,BV1EA411H7dR,1611047341
16720403,BV1cU4y147pr,1611047682
12177425,BV1HA411H7Py,1611048624
16720403,BV1CA411H7Qp,1611048380
16720403,BV1UK4y1W7pT,1611048260
2303935,BV1et4y1z7q1,1611048451
152389373,BV1rT4y1N7kP,1611049251
486443212,BV1N54y1s7Lk,1611050413
2303935,BV1GU4y147nL,1611050098
2303935,BV1HN411d7se,1611049867
2303935,BV1ZV411t7zE,1611049840
71203142,BV1wT4y1K7d3,1611051267
11783021,BV1gK411u7mb,1611052261
35579222,BV11r4y1T7ar,1611052532
2303935,BV1ry4y1m7Ab,1611056564
19750237,BV1ZU4y1x7zL,1611057608
20303408,BV1KT4y1K7Ea,1611058558
928123,BV1Lt4y1z7Dy,1611059401
