uid,bvid,cdate
322892,BV1tt4y1z7FG,1611036651
403943112,BV1354y1s7xS,1611041415
290515513,BV1DA411H7sb,1611043799
399918500,BV1s54y1s78g,1611043987
399918500,BV1Y54y1s7mv,1611044424
221648,BV1Cv411W7gJ,1611046277
8188433,BV1by4y1H7iJ,1611047675
337521240,BV1sK4y1W7ht,1611048611
391679,BV1HN411d7rC,1611050413
21453565,BV1Kr4y1M7zY,1611050100
26798384,BV1BV411t7Ln,1611050413
21453565,BV1WU4y1477K,1611051901
250858633,BV1VU4y147SD,1611054829
5028996,BV15K4y1W77s,1611054309
99336697,BV1rp4y1x73w,1611056201
