68808,871,1079,35,11967,1611072186
67938,867,1072,34,11804,1611071260
67018,852,1049,34,11637,1611070313
65914,839,1028,33,11401,1611069388
64426,824,1021,33,11179,1611068455
62789,805,988,32,10915,1611067527
60819,786,963,31,10615,1611066588
51573,681,856,27,9158,1611062559
48986,655,828,23,8782,1611061567
46312,620,801,22,8402,1611060634
43356,584,776,22,7990,1611059655
40508,551,747,20,7572,1611058699
38026,518,715,20,7105,1611057793
35466,496,689,20,6687,1611056883
32380,444,647,19,6204,1611055947
29125,405,590,16,5634,1611055030
25350,360,535,11,5005,1611054130
20890,311,463,8,4287,1611053214
16072,249,386,8,3530,1611052326
11144,177,299,7,2567,1611051431
7047,114,209,6,1671,1611050546
2078,39,81,1,602,1611049669
