27505,215,450,52,2486,1611077010
27094,215,448,51,2456,1611076082
26588,214,442,50,2420,1611075060
25997,211,436,50,2378,1611074088
25334,209,424,48,2331,1611073132
24730,207,420,47,2279,1611072195
23959,204,409,47,2230,1611071270
22981,198,401,45,2178,1611070315
21943,191,389,44,2101,1611069391
20718,186,382,43,1989,1611068465
19538,177,364,41,1884,1611067537
18074,167,352,36,1775,1611066597
11267,118,247,26,1199,1611062584
9251,96,226,22,1031,1611061593
7345,76,187,15,848,1611060644
5135,56,132,9,628,1611059660
2581,36,86,7,355,1611058698
252,11,20,2,58,1611057797
