111243,2235,3401,321,13467,1611076078
109612,2199,3339,317,13297,1611075068
107815,2172,3282,313,13126,1611074096
105900,2141,3239,310,12975,1611073146
103565,2101,3169,302,12759,1611072201
100967,2036,3061,294,12463,1611071254
97861,1991,2962,281,12174,1611070329
94604,1929,2873,267,11827,1611069385
91095,1867,2762,258,11444,1611068459
87076,1803,2664,246,11068,1611067549
83334,1719,2528,236,10645,1611066612
63348,1376,1936,181,8516,1611062570
58207,1286,1772,173,7970,1611061580
52806,1187,1569,153,7363,1611060640
46365,1071,1386,133,6643,1611059669
39320,965,1176,111,5922,1611058700
33239,848,1027,99,5289,1611057786
28699,741,898,77,4672,1611056888
23320,613,743,57,3922,1611055962
17565,488,578,45,3107,1611055044
11408,349,362,32,2146,1611054148
4885,170,152,20,1011,1611053221
