10192,494,143,7,2029,1610989666
10042,490,142,7,2002,1610988714
9851,481,140,7,1978,1610987778
9667,477,137,7,1945,1610986852
9419,467,135,7,1917,1610985894
9089,455,134,6,1862,1610984990
8768,435,130,6,1790,1610984063
8390,428,125,6,1729,1610983144
7941,404,120,6,1635,1610982245
7413,385,114,6,1539,1610981320
6898,357,108,6,1421,1610980427
6469,334,103,6,1331,1610979524
5954,312,94,5,1219,1610978605
5408,292,90,5,1127,1610977651
4860,272,84,4,1018,1610976732
4279,242,79,4,932,1610975851
3552,193,67,4,783,1610974959
2840,154,53,3,648,1610974070
2084,123,42,2,501,1610973156
1242,76,24,1,325,1610972259
118,14,6,1,61,1610971368
