12924,21,39,6,1054,1611073129
12755,21,39,6,1046,1611072184
12576,20,39,6,1040,1611071267
12395,20,39,6,1024,1611070310
12208,20,37,6,1004,1611069379
12017,20,37,6,993,1611068454
11803,20,37,6,982,1611067528
11570,20,36,6,973,1611066577
10649,17,34,6,906,1611062563
10425,16,32,6,893,1611061562
10203,16,30,6,876,1611060628
9956,14,28,6,852,1611059655
9667,13,28,6,828,1611058688
9350,11,23,6,802,1611057772
8923,10,22,6,775,1611056893
8366,8,20,6,730,1611055955
7791,8,19,6,697,1611055029
7264,7,19,5,661,1611054124
6568,7,15,3,612,1611053210
5780,7,11,3,546,1611052317
4973,6,9,3,472,1611051429
4229,4,9,3,395,1611050542
2944,3,4,3,287,1611049661
1823,3,4,1,171,1611048789
293,0,0,1,46,1611047899
