717446,4671,21041,889,104271,1611069383
697502,4547,20414,863,101557,1611068453
676501,4426,19741,828,98665,1611067526
652650,4306,19134,800,95619,1611066583
553777,3741,16251,669,83028,1611062557
528863,3614,15608,631,79946,1611061562
505521,3474,15010,606,76992,1611060640
481678,3322,14316,572,73839,1611059647
458388,3203,13673,541,70826,1611058698
433224,3028,12921,511,67352,1611057777
404669,2863,12140,459,63573,1611056884
370264,2654,11214,413,59227,1611055953
335232,2422,10206,373,54423,1611055021
296318,2215,9247,330,49253,1611054127
251942,1951,8050,293,43168,1611053229
202348,1632,6698,241,36315,1611052333
145221,1296,5243,186,28320,1611051448
95230,921,3658,123,20204,1611050550
48419,510,2041,67,10959,1611049668
3239,55,189,6,1072,1611048788
