16712,1302,1831,134,5401,1611077005
16533,1291,1818,132,5365,1611076071
16357,1280,1812,131,5334,1611075044
16200,1266,1803,129,5295,1611074087
15953,1249,1778,128,5249,1611073116
15746,1234,1767,127,5202,1611072177
15490,1220,1740,125,5151,1611071248
15183,1189,1699,121,5083,1611070299
14829,1159,1656,117,5012,1611069381
14505,1129,1627,114,4934,1611068450
14124,1107,1594,114,4852,1611067523
13761,1076,1544,112,4745,1611066581
12118,930,1341,96,4284,1611062554
11758,890,1305,93,4194,1611061559
11444,870,1268,88,4103,1611060638
11117,831,1218,86,3997,1611059645
10745,801,1165,84,3900,1611058696
10460,772,1130,83,3807,1611057774
10118,750,1092,78,3695,1611056882
9750,717,1064,75,3584,1611055950
9358,691,1033,68,3456,1611055019
8983,665,998,64,3304,1611054125
8449,625,943,61,3166,1611053227
7897,584,888,56,2993,1611052330
7305,544,820,52,2791,1611051446
6596,475,747,45,2559,1611050548
5841,430,675,41,2318,1611049666
5155,365,589,38,2026,1611048786
4351,319,519,33,1744,1611047900
3513,253,423,24,1437,1611047027
2386,171,286,16,1048,1611046139
1258,113,181,8,607,1611045240
