10691,1283,484,18,1547,1610984051
10428,1257,478,18,1518,1610983140
10175,1228,467,18,1481,1610982229
9902,1198,456,16,1448,1610981317
9586,1164,444,16,1396,1610980417
9310,1138,437,16,1357,1610979516
8995,1111,421,14,1315,1610978581
8661,1077,407,13,1263,1610977628
8294,1030,390,13,1199,1610976723
7907,990,371,13,1139,1610975841
7537,947,353,11,1091,1610974950
7091,911,334,10,1035,1610974069
6452,862,315,10,965,1610973157
5247,737,282,10,859,1610972268
4383,641,248,10,762,1610971365
3464,530,215,10,635,1610970482
2586,415,169,9,495,1610969593
1459,234,90,6,306,1610968710
199,51,23,1,57,1610967832
