36540,1309,683,68,3200,1610966933
34892,1252,658,66,3092,1610966052
33065,1195,630,61,2963,1610965170
31453,1133,594,59,2824,1610964277
30093,1090,577,55,2712,1610963392
28542,1031,551,52,2594,1610962492
27028,969,520,47,2469,1610961604
25394,896,493,47,2342,1610960741
23775,846,468,44,2200,1610959825
22291,804,442,42,2070,1610958950
20657,744,406,40,1943,1610958088
19141,686,367,37,1806,1610957201
17434,622,334,30,1660,1610956333
15806,553,312,26,1501,1610955457
13895,479,278,24,1347,1610954581
11830,407,238,17,1177,1610953716
9756,322,198,14,998,1610952834
7222,213,153,10,764,1610951953
4535,131,97,7,495,1610951094
1633,51,29,3,214,1610950224
