254803,3523,11027,3754,23612,1610992413
253194,3507,10982,3748,23527,1610991484
251086,3491,10942,3735,23411,1610990568
248507,3470,10881,3711,23270,1610989644
244901,3432,10772,3683,23077,1610988705
240898,3378,10644,3656,22804,1610987756
235558,3322,10511,3613,22490,1610986817
229848,3269,10332,3542,22140,1610985883
223272,3191,10121,3479,21674,1610984979
215209,3114,9880,3387,21070,1610984047
207198,3012,9613,3290,20463,1610983152
198760,2911,9321,3182,19801,1610982224
189756,2793,8979,3060,19082,1610981312
181021,2678,8609,2922,18333,1610980414
172375,2559,8266,2774,17544,1610979503
163203,2455,7900,2640,16810,1610978589
155119,2341,7560,2502,16037,1610977628
148141,2255,7269,2399,15439,1610976730
141618,2161,6983,2303,14906,1610975841
134292,2058,6677,2201,14282,1610974945
126616,1970,6343,2102,13670,1610974067
118831,1897,6025,1983,13051,1610973146
111005,1799,5696,1862,12384,1610972254
102303,1684,5340,1719,11656,1610971360
92806,1548,4897,1592,10787,1610970467
83409,1418,4480,1422,9884,1610969583
71637,1253,3972,1243,8794,1610968704
60372,1091,3442,1058,7640,1610967823
48630,909,2865,848,6338,1610966952
34604,660,2038,604,4701,1610966057
18603,371,1195,331,2824,1610965175
3046,80,243,71,627,1610964279
