277012,553,2295,143,17243,1610988694
272779,541,2257,143,17031,1610987767
267359,531,2210,137,16768,1610986822
261533,527,2164,134,16472,1610985890
254778,506,2112,129,16116,1610984996
247356,496,2045,123,15705,1610984058
238809,485,1969,117,15275,1610983142
230706,472,1891,114,14824,1610982226
222108,457,1796,106,14352,1610981313
213287,452,1734,100,13859,1610980418
204363,438,1661,92,13292,1610979511
195426,419,1598,84,12755,1610978605
186530,406,1527,78,12282,1610977655
178143,393,1473,73,11774,1610976733
169565,376,1421,73,11237,1610975845
160115,360,1345,71,10670,1610974957
149939,342,1265,64,10136,1610974077
137424,322,1192,58,9523,1610973153
125160,297,1110,55,8859,1610972264
113838,272,998,46,8176,1610971372
99822,241,873,40,7334,1610970477
84515,215,770,36,6428,1610969596
68190,178,662,29,5400,1610968710
48476,144,493,22,4068,1610967832
27058,103,269,11,2459,1610966942
3927,20,40,3,518,1610966061
