36531,623,1020,275,5177,1611079811
36397,622,1014,275,5151,1611078893
36213,618,1008,273,5128,1611077937
36031,607,1001,271,5103,1611077009
35815,605,996,270,5074,1611076075
35514,599,993,270,5041,1611075048
35143,594,984,267,4996,1611074091
34774,587,969,263,4942,1611073120
34291,572,952,260,4885,1611072180
33704,562,934,257,4818,1611071252
33031,555,913,253,4724,1611070302
32344,543,890,242,4629,1611069385
31571,533,869,235,4536,1611068454
30722,515,852,227,4436,1611067528
29782,496,836,220,4329,1611066585
25136,439,746,189,3763,1611062559
24000,422,723,184,3617,1611061564
22836,404,699,177,3473,1611060641
21509,385,655,166,3321,1611059650
20130,360,625,161,3161,1611058700
18949,344,595,144,2994,1611057779
17638,324,572,135,2817,1611056887
16021,298,505,122,2581,1611055955
14125,274,457,105,2306,1611055024
12252,241,400,90,1983,1611054128
9837,187,327,67,1622,1611053230
7071,139,233,43,1174,1611052335
3879,88,136,23,685,1611051450
215,10,10,1,80,1611050552
