6304,111,13,38,335,1611071258
6186,108,13,37,330,1611070312
6042,103,13,37,325,1611069387
5875,101,12,36,315,1611068454
5692,98,12,34,308,1611067525
5515,94,12,31,297,1611066586
4718,83,12,27,263,1611062558
4518,83,12,27,256,1611061566
4314,76,9,27,240,1611060633
4081,73,8,26,231,1611059654
3840,69,6,26,216,1611058697
3599,59,5,26,203,1611057792
3343,56,5,25,195,1611056882
3025,50,5,23,177,1611055946
2705,46,5,21,169,1611055029
2327,40,5,17,153,1611054129
1837,31,5,15,136,1611053213
1323,28,5,13,123,1611052324
969,22,4,10,103,1611051430
726,18,4,6,81,1611050544
468,13,2,5,55,1611049667
215,7,2,3,26,1611048791
