163984,666,1214,174,19599,1610986826
158713,648,1176,162,19060,1610985890
152831,636,1132,155,18437,1610984988
145271,621,1088,146,17659,1610984056
137438,602,1038,137,16796,1610983159
128579,575,947,120,15781,1610982231
118301,531,883,110,14616,1610981319
107022,496,813,100,13346,1610980421
93966,455,721,90,11848,1610979510
79910,391,630,79,10171,1610978596
64101,320,536,59,8489,1610977634
48507,270,431,45,6806,1610976737
32072,206,324,32,4892,1610975848
16369,131,207,17,2778,1610974953
1,6,13,3,221,1610974074
