26007,1666,3117,240,5851,1611075060
25495,1638,3074,237,5761,1611074088
24718,1606,3034,233,5671,1611073139
23711,1577,2981,223,5553,1611072194
22516,1523,2896,217,5387,1611071246
21326,1470,2792,213,5211,1611070321
20171,1428,2697,204,5074,1611069377
19043,1367,2617,192,4901,1611068451
17824,1325,2512,188,4716,1611067542
16841,1270,2421,183,4522,1611066602
12551,982,1970,156,3664,1611062560
11707,912,1868,143,3468,1611061573
10914,867,1760,133,3291,1611060633
10235,830,1684,125,3142,1611059661
9718,780,1596,116,2999,1611058693
9184,734,1504,103,2838,1611057779
8596,678,1406,100,2671,1611056879
7794,616,1302,93,2455,1611055953
6916,552,1176,82,2211,1611055035
6204,481,1061,75,1982,1611054142
5396,415,912,68,1727,1611053212
4475,346,763,56,1464,1611052320
3532,267,608,37,1189,1611051435
2377,202,430,22,846,1611050547
1096,99,197,9,432,1611049669
