uid,bvid,cdate
2534066,BV1ty4y1m7Um,1610851924
1685024055,BV1HU4y1474m,1610852074
1685024055,BV1Ht4y1z7Tg,1610851721
1685024055,BV1nA411H7Qn,1610854477
1993043920,BV1uT4y1K7D7,1610854874
1993043920,BV1Nv4y1f7wK,1610854592
1483706297,BV1p54y1s7UL,1610856003
1767112114,BV12t4y1z74i,1610857406
1685024055,BV1th411y7hL,1610858707
1685024055,BV17A411H7SM,1610860946
1685024055,BV1d5411n7wE,1610862544
1685024055,BV1dr4y1T7Pb,1610866322
1685024055,BV165411n7ZH,1610869975
2011755366,BV1Pv4y1f7in,1610869872
1685024055,BV1uz4y1S7jU,1610872554
2534066,BV1Dt4y1z7rn,1610886914
1685024055,BV1BV411t7q9,1610885506
1685024055,BV1cv4y1f794,1610883826
1685024055,BV1bA411H7jF,1610883685
1685024055,BV1D5411n7Ar,1610881796
1685024055,BV1aK4y1W7y6,1610881246
1828121419,BV1GT4y1K7F6,1610883004
