uid,bvid,cdate
109678585,BV1qK411u72K,1610848855
109678585,BV1Yv411W7KW,1610848752
109678585,BV1iV411t7k1,1610846583
109678585,BV1Z54y1W7Rz,1610846409
291042076,BV1Up4y1x7f2,1610846805
4981619,BV1ay4y1m7Fz,1610852352
109678585,BV1qt4y1z7vo,1610852237
109678585,BV1DV411t7Gs,1610852230
109678585,BV1Sz4y1U7Cs,1610852704
109678585,BV1PT4y1K7Pa,1610853776
109678585,BV1fr4y1T7Fa,1610854917
109678585,BV1M5411H7mk,1610854913
109678585,BV1ji4y1c7d5,1610855586
109678585,BV1Ko4y1o7aZ,1610855574
2012509747,BV1at4y1z7nB,1610856003
109678585,BV1Ho4y1o7wy,1610857290
109678585,BV1cz4y1S7FA,1610857274
109678585,BV1xA411H7UJ,1610858978
109678585,BV1d54y1W7Ky,1610858600
2142101977,BV16K4y1W7Sn,1610863351
109678585,BV17y4y1m7G3,1610891516
109678585,BV1dv4y1Z7i1,1610891515
109678585,BV1bo4y1o7tx,1610891078
109678585,BV1cv41147nD,1610890532
109678585,BV1hv411W7TF,1610878991
388040156,BV1rh411272Q,1610885025
388040156,BV1pt4y1z7dk,1610884697
388040156,BV1w5411H72z,1610884591
388040156,BV1UX4y1K7qx,1610883586
388040156,BV1bK411u7jU,1610883499
702509336,BV1FU4y147sA,1610874010
109678585,BV1rh41127p5,1610892705
109678585,BV1fK4y1W7TH,1610894226
109678585,BV12v411W7Uf,1610894031
109678585,BV1Po4y1o7tS,1610894006
109678585,BV1iy4y1m7SM,1610893565
109678585,BV1Sv411W7BF,1610893553
109678585,BV1YK411u7ED,1610894857
109678585,BV1x54y1s7kf,1610894824
109678585,BV1dy4y1H7pM,1610894812
109678585,BV1bV411t7MV,1610894684
109678585,BV1pf4y1k7Uq,1610894650
35372159,BV1ff4y1r7nw,1610894919
