uid,bvid,cdate
483771221,BV1jh411y7po,1610848597
483771221,BV1pi4y1c72e,1610847103
483771221,BV18v411W7jm,1610845813
483771221,BV1Jy4y1m7Si,1610845734
1558137561,BV1xA411H7Y8,1610852404
260155007,BV1xp4y1x7X9,1610857172
41225922,BV1sX4y1K7yc,1610859731
703116658,BV1BV411t7e7,1610866079
300080640,BV1R5411n7c5,1610880855
260155007,BV1No4y1o78n,1610878590
1558137561,BV1gy4y1m7eh,1610881212
1558137561,BV1ty4y1m7su,1610877602
2110295426,BV1Kv4y1f75u,1610881777
517454083,BV15K411u7CU,1610890103
382254272,BV1CX4y1K7SN,1610890011
1127453719,BV1554y1s7e8,1610889639
