uid,bvid,cdate
1685024055,BV1WN411d7PP,1610948241
1685024055,BV1Gi4y1c7Yi,1610948980
1685024055,BV1vh41127VB,1610949975
1685024055,BV1HK4y1W7SA,1610950312
1685024055,BV1po4y1o7zR,1610951362
1685024055,BV1Sy4y1H78e,1610953073
1685024055,BV1go4y1o7vf,1610954085
1685024055,BV12v411W791,1610954811
1685024055,BV1cf4y1k7C1,1610956148
1685024055,BV1JT4y1K7nM,1610955744
1685024055,BV1Mv41147eG,1610955621
1685024055,BV1Ny4y1m72z,1610957860
1739577202,BV1yA411H759,1610958380
1685024055,BV1tU4y147Pj,1610958752
1685024055,BV1sf4y1k7u7,1610958288
1685024055,BV1pi4y1c7m2,1610958282
696648800,BV1qK411u7kE,1610959081
702509333,BV175411H7Yc,1610960054
1685024055,BV14T4y1K7zf,1610961456
1685024055,BV1mt4y1z7zS,1610962137
1685024055,BV1SK4y1W7Le,1610961794
1685024055,BV1CA411H7RR,1610962624
1685024055,BV1ih41127ZL,1610963928
1685024055,BV1tf4y1k73n,1610963554
286037716,BV16t4y1z7xx,1610963466
260155007,BV1tK4y1W7gT,1610963870
1685024055,BV1ni4y1c78p,1610964923
1685024055,BV1Ky4y1m7Nu,1610970359
1685024055,BV1Ey4y1m7Dk,1610970302
1685024055,BV1j5411H7fC,1610970914
1685024055,BV12K4y1W72o,1610972811
1685024055,BV13y4y1H7qV,1610972375
1685024055,BV1iK4y1W7Zs,1610973813
1685024055,BV1Wy4y1H72Z,1610973504
1685024055,BV1rT4y1N7du,1610973278
1685024055,BV1z5411n73o,1610974686
1685024055,BV1hK411u7Zw,1610974357
1685024055,BV14y4y1H7GR,1610975714
2128487337,BV1yp4y1x7QF,1610978400
1685024055,BV1Dv4y1Z7ci,1610979209
1685024055,BV1u54y1s7um,1610983280
1685024055,BV1ay4y1H7bX,1611013176
