2189,2,0,3,80,1610972165
1940,2,0,3,70,1610971280
1671,2,0,3,59,1610970382
1263,2,0,3,50,1610969496
921,2,0,2,32,1610968624
840,2,0,2,28,1610967739
759,2,0,2,26,1610966856
655,2,0,2,23,1610965976
556,2,0,2,20,1610965094
460,2,0,1,16,1610964196
367,2,0,0,12,1610963312
304,1,0,0,10,1610962425
265,1,0,0,7,1610961562
207,1,0,0,6,1610960654
165,1,0,0,6,1610959749
132,1,0,0,6,1610958876
110,1,0,0,5,1610957996
98,1,0,0,5,1610957121
90,1,0,0,4,1610956249
83,1,0,0,3,1610955375
71,1,0,0,3,1610954506
50,1,0,0,3,1610953630
29,0,0,0,2,1610952751
11,0,0,0,0,1610951881
