353566,3236,5709,1395,21197,1611009878
351534,3211,5688,1393,21101,1611008971
349752,3201,5666,1392,21020,1611008061
348112,3188,5651,1387,20960,1611007162
346628,3177,5642,1387,20906,1611006227
345255,3171,5633,1384,20860,1611005328
343958,3161,5625,1383,20797,1611004393
342786,3156,5615,1383,20754,1611003474
341603,3149,5606,1381,20720,1611002559
340274,3140,5597,1379,20682,1611001631
338824,3125,5575,1377,20626,1611000704
336886,3114,5555,1376,20555,1610999779
334691,3101,5537,1374,20468,1610998875
331926,3078,5506,1370,20364,1610997965
328610,3059,5456,1366,20241,1610997009
325251,3035,5423,1361,20110,1610996052
321385,2998,5371,1353,19941,1610995130
316828,2954,5301,1343,19723,1610994210
310351,2909,5219,1331,19451,1610993271
303179,2853,5138,1317,19121,1610992336
293518,2787,5021,1289,18707,1610991399
282316,2697,4885,1267,18165,1610990489
271180,2600,4749,1250,17625,1610989581
259322,2495,4553,1223,17072,1610988623
246746,2383,4350,1176,16392,1610987684
230882,2256,4123,1110,15608,1610986739
213686,2114,3875,1051,14698,1610985809
192489,1883,3527,962,13476,1610984903
165579,1663,3128,842,12043,1610983972
139030,1416,2720,729,10554,1610983059
126593,1292,2473,690,9711,1610982142
114598,1181,2255,630,8921,1610981233
100568,1032,1993,559,7985,1610980334
85016,903,1751,490,7008,1610979429
70666,743,1523,423,6163,1610978504
53236,611,1260,340,5288,1610977554
42489,517,1077,293,4547,1610976653
31562,413,903,238,3859,1610975761
28500,380,870,223,3626,1610974896
27188,364,846,214,3494,1610973984
25890,350,815,206,3367,1610973074
24200,325,777,201,3232,1610972172
22635,303,734,191,3070,1610971288
21017,282,697,177,2920,1610970389
18644,263,653,169,2732,1610969504
16557,243,606,157,2533,1610968632
14900,226,580,146,2379,1610967746
13140,204,532,137,2197,1610966864
11608,185,489,124,2025,1610965984
10171,170,445,111,1853,1610965102
8793,154,391,91,1624,1610964204
7413,137,340,78,1392,1610963320
6018,116,284,70,1160,1610962435
4414,81,210,53,891,1610961569
2693,57,158,34,596,1610960662
1066,24,68,11,269,1610959756
