474,0,0,0,13,1611012639
461,0,0,0,13,1611011716
447,0,0,0,13,1611010817
437,0,0,0,13,1611009885
424,0,0,0,13,1611008970
420,0,0,0,13,1611008056
411,0,0,0,13,1611007141
408,0,0,0,13,1611006221
403,0,0,0,13,1611005310
397,0,0,0,13,1611004388
392,0,0,0,13,1611003469
390,0,0,0,13,1611002553
386,0,0,0,13,1611001624
381,0,0,0,13,1611000708
377,0,0,0,13,1610999774
375,0,0,0,13,1610998866
372,0,0,0,13,1610997965
368,0,0,0,13,1610997004
364,0,0,0,13,1610996053
357,0,0,0,13,1610995130
356,0,0,0,13,1610994209
341,0,0,0,13,1610993270
327,0,0,0,13,1610992337
310,0,0,0,13,1610991396
286,0,0,0,11,1610990482
262,0,0,0,10,1610989568
238,0,0,0,10,1610988619
215,0,0,0,9,1610987678
199,0,0,0,8,1610986737
188,0,0,0,8,1610985805
177,0,0,0,8,1610984895
158,0,0,0,8,1610983965
144,0,0,0,6,1610983056
133,0,0,0,5,1610982142
122,0,0,0,5,1610981229
107,0,0,0,5,1610980329
82,0,0,0,5,1610979413
56,0,0,0,4,1610978505
23,0,0,0,4,1610977550
8,0,0,0,1,1610976643
